DATE,Índice de Preços de Imóveis (USD),Estoque de Imóveis (Meses),Inadimplência de Hipotecas (%),Taxa Básica de Juros (%),Taxa de Juros Hipotecas 30a (%)
1998-01-01,87.478,4.0,2.2,5.52,7.05
1998-04-01,89.38266666666671,3.9,2.12,5.5,7.1
1998-07-01,91.3466666666667,4.1,2.09,5.53,6.87
1998-10-01,92.2203333333333,3.8,2.03,4.86,6.76
1999-01-01,93.109,4.0,1.94,4.73,6.88
1999-04-01,95.394,3.9,1.88,4.75,7.18
1999-07-01,97.83733333333329,4.2,2.15,5.1,7.79
1999-10-01,99.1816666666667,4.3,1.99,5.3,7.84
2000-01-01,100.679,4.3,1.95,5.68,8.26
2000-04-01,103.699666666667,4.5,1.98,6.27,8.32
2000-07-01,106.46,4.2,2.09,6.52,8.02
2000-10-01,108.271,3.9,2.23,6.47,7.62
2001-01-01,109.750666666667,3.8,2.34,5.6,7.01
2001-04-01,112.241333333333,4.0,2.41,4.33,7.13
2001-07-01,114.893666666667,4.3,2.19,3.5,6.96
2001-10-01,115.858,4.1,2.26,2.13,6.77
2002-01-01,117.094,4.1,2.24,1.73,6.97
2002-04-01,120.776666666667,4.2,2.16,1.75,6.81
2002-07-01,124.637666666667,4.0,2.1,1.74,6.29
2002-10-01,126.644,4.0,2.0,1.44,6.08
2003-01-01,128.428666666667,4.2,1.97,1.25,5.84
2003-04-01,131.851,3.8,1.83,1.25,5.51
2003-07-01,135.896,3.6,1.73,1.02,6.03
2003-10-01,138.79,4.0,1.76,1.0,5.92
2004-01-01,142.270333333333,3.7,1.65,1.0,5.6
2004-04-01,148.345333333333,3.9,1.6,1.01,6.11
2004-07-01,153.754,4.3,1.56,1.43,5.89
2004-10-01,157.489666666667,4.1,1.41,1.95,5.74
2005-01-01,162.211,4.3,1.42,2.47,5.77
2005-04-01,169.521333333333,4.3,1.55,2.94,5.71
2005-07-01,175.878333333333,4.5,1.59,3.46,5.76
2005-10-01,179.512,4.8,1.64,3.98,6.23
2006-01-01,181.692333333333,5.8,1.61,4.45,6.25
2006-04-01,184.191666666667,6.3,1.62,4.91,6.6
2006-07-01,184.403,6.9,1.74,5.25,6.56
2006-10-01,183.637333333333,6.8,1.92,5.24,6.24
2007-01-01,182.460666666667,7.7,2.08,5.25,6.21
2007-04-01,181.852,7.8,2.29,5.25,6.36
2007-07-01,180.116333333333,8.9,2.72,5.07,6.55
2007-10-01,175.342333333333,9.2,3.1,4.5,6.22
2008-01-01,169.389333333333,9.8,3.68,3.18,5.87
2008-04-01,166.958666666667,10.6,4.36,2.08,6.09
2008-07-01,163.967333333333,10.9,5.28,1.94,6.32
2008-10-01,155.925666666667,11.4,6.58,0.51,5.84
2009-01-01,147.830666666667,11.2,8.01,0.18,5.06
2009-04-01,148.302333333333,9.5,8.57,0.18,5.01
2009-07-01,150.348,7.7,9.47,0.15,5.16
2009-10-01,147.730333333333,7.7,10.4,0.12,4.92
2010-01-01,143.884333333333,7.8,11.49,0.13,5.0
